user_id;shipped
4190;True
2876;True
873;True
545;False
4221;True
5184;True
1461;False
6761;False
1884;True
6695;False
4388;False
6220;False
3780;True
2172;True
6308;False
1510;False
215;False
1789;True
5831;False
2809;True
3301;True
1324;True
4274;True
4193;False
3743;False
2130;False
1553;True
4373;False
2583;True
4434;True
2177;True
663;False
6699;True
3845;True
4597;False
496;True
996;True
2098;False
6905;True
1752;True
806;True
6579;False
5292;True
1715;True
2155;True
2455;False
1553;False
1160;False
6290;False
5478;False
6151;True
3563;False
1296;False
4304;True
3419;True
2238;True
2759;False
4908;True
1666;True
3250;True
924;True
4454;True
201;False
4142;False
4837;True
424;False
5710;False
38;False
5688;False
5312;True
6972;False
362;True
6597;True
1662;True
6742;False
4380;False
3180;True
3159;False
4201;True
5137;False
3122;False
2846;True
2254;False
1858;False
2537;True
5633;True
2429;False
1437;False
915;False
6795;False
1558;False
5374;True
3198;False
3881;True
6054;True
2229;False
3647;False
5144;True
814;False
5819;False
5597;False
2702;True
1446;False
3247;False
4930;True
4061;True
611;False
5118;False
969;True
5735;False
6043;True
2829;False
2346;False
6884;False
2342;True
1071;True
6344;False
5847;True
365;False
3534;True
2778;False
6585;False
794;False
6692;False
3943;False
819;False
2886;True
6767;False
3131;True
3875;True
5636;True
2615;False
4672;True
3373;False
1582;True
5913;True
5287;False
5852;False
1956;True
2614;True
5282;True
685;False
2085;False
5936;False
4531;False
3825;True
3738;False
3132;False
6727;False
589;True
1338;False
2188;True
2486;False
3456;False
3833;True
4033;False
3881;False
6211;True
574;True
1995;False
2244;True
4487;True
646;True
5497;False
5916;False
2009;True
6369;False
1465;False
1951;True
2019;False
2743;True
1556;True
3491;False
3727;False
5616;False
2126;False
1621;False
251;False
3475;False
1673;True
4119;False
1516;False
1358;False
6070;True
861;False
4690;False
5522;True
372;False
1452;False
1646;False
3112;True
1340;False
1939;True
1990;True
6250;False
2502;False
2950;True
812;False
184;False
6181;False
1242;False
3592;False
830;False
5499;False
6547;False
4909;True
2646;True
1802;True
4775;True
4906;True
3382;False
2656;True
1362;False
2717;False
2073;True
6456;True
4934;True
3236;False
3322;True
5058;True
6003;False
839;False
29;True
359;True
6454;False
318;False
6639;False
5457;False
6244;False
1416;False
3782;False
3246;False
353;False
4452;False
3139;False
213;False
2349;True
2346;True
1755;False
6924;True
4862;True
2955;False
850;False
2997;True
5757;False
1894;False
191;True
4917;True
5054;False
3972;False
5269;False
1980;True
4155;False
1562;False
246;True
6780;True
2937;False
4299;True
3930;True
715;False
6399;True
1182;False
2208;False
3897;False
5813;False
6195;False
2274;True
418;True
1533;True
3231;True
6994;False
4236;False
6276;False
1848;True
1506;False
113;False
6387;True
6851;False
1234;True
5785;False
1653;True
1692;True
6744;True
1258;False
1408;True
3337;False
182;True
4395;False
6425;False
1831;False
4131;True
2922;True
4010;True
2350;False
535;False
5758;True
177;False
4930;True
1168;False
6893;True
1587;True
823;True
1876;False
2369;False
6694;False
6652;True
5746;True
5554;False
1281;True
5322;True
3043;True
4012;True
6855;False
321;True
2183;False
744;False
6031;False
4506;True
1636;True
2445;False
5626;False
4135;False
6226;True
3357;True
6969;True
965;False
2413;True
6509;False
3445;False
3266;False
1638;False
2923;True
3603;True
3774;True
855;False
3876;False
1179;True
3538;True
705;True
3916;True
2651;True
3465;False
3947;False
603;False
33;False
4657;True
1965;False
2389;True
1146;True
4040;False
3501;False
1556;True
6221;False
2631;False
1951;False
3091;True
6642;True
3631;False
2607;False
6856;False
6902;True
2296;False
4353;False
5918;False
2782;True
1693;True
1969;False
215;True
2893;False
1737;True
494;False
6396;False
1464;False
4925;False
4185;False
6059;False
3652;False
2502;True
4723;True
6317;False
3728;True
3343;True
6780;False
3409;True
3838;True
3582;True
1445;False
5428;False
1761;True
6037;False
4800;True
737;False
442;True
1343;True
2346;False
5168;False
5782;False
1568;True
1104;True
612;True
6995;False
1052;False
3810;True
4128;True
3615;False
2121;True
6796;True
618;False
30;False
3847;True
304;True
1859;True
6338;False
2031;True
4752;True
2217;False
3607;True
